Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","SMD-0805",10.5156,7.9756,90.0000,bottom
"C2","100pF","SMD-0805",17.7800,6.0325,-90.0000,bottom
"C3","100nF","SMD-0805",26.4795,4.6990,0.0000,bottom
"C4","100pF","SMD-0805",26.4795,6.7310,0.0000,bottom
"C5","1nF","SMD-0805",20.1930,10.0965,0.0000,bottom
"C6","1nF","SMD-0805",26.9300,23.7417,90.0000,bottom
"C7","1nF","SMD-0805",26.9419,16.8409,-90.0000,bottom
"C8","1nF","SMD-0805",13.6144,16.6624,135.0000,bottom
"C9","2p2","SMD-0805",17.1450,19.3675,-90.0000,bottom
"C10","2p2","SMD-0805",22.8600,19.3675,-90.0000,bottom
"D1","M4","D_SMA",14.3383,30.8843,0.0000,bottom
"D2","BZV55C-3,6V","D_MiniMELF",24.7463,27.9281,-90.0000,bottom
"D3","BZV55C-3,6V","D_MiniMELF",21.3360,27.9120,-90.0000,bottom
"D4","RED","LED_1206",21.7170,3.9370,0.0000,bottom
"L1","74279204","L_0805_2012Metric",21.1625,6.9850,0.0000,bottom
"L2","100nH","L_0805_2012Metric",24.2824,9.5985,135.0000,bottom
"L3","1n5H","L_0805_2012Metric",17.6827,16.0020,180.0000,bottom
"L4","100nH","SMD-0805",29.0466,26.9875,-90.0000,bottom
"L5","100nH","SMD-0805",29.0596,13.6525,90.0000,bottom
"L6","6n8","SMD-0805",20.0025,20.3200,0.0000,bottom
"R1","10k","SMD-0805",15.5013,3.2512,0.0000,bottom
"R2","10k","SMD-0805",24.7650,37.7825,90.0000,bottom
"R3","10k","SMD-0805",27.3050,37.7825,-90.0000,bottom
"R4","10k","SMD-0805",22.2250,37.7825,-90.0000,bottom
"R5","10k","SMD-0805",19.6850,37.7825,90.0000,bottom
"R6","330R","SMD-0805",26.4795,2.5400,0.0000,bottom
"U1","TPS22945DCKR","SOT-353_SC-70-5",14.6050,6.3500,180.0000,bottom
"U2","PE4259","SOT-363_SC-70-6",26.0350,20.3200,180.0000,bottom
"U3","SPF5189Z","SOT-89-3",22.2250,13.9700,180.0000,bottom
"U4","PE4259","SOT-363_SC-70-6",13.9700,20.3200,0.0000,bottom
